date,LPX,AAL,CR,DAL,DLX,LUV,RHI,SNA,URI,AAP,AZO,EXPE,KBH,NFLX,PCLN,PHM,SHLD,TIF,TSN,HCA,AFL,AIZ,AMP,BLK,ETFC,GNW,HIG,LNC,MET,NTRS,PFG,PRU,UNM,AKAM,BVSN,CVG,FB,GOOGL,IAC,ORCL,VIAV,S,DYN,CBG,HST,RLGY
6 02 1990,13.16666667,,9.722222222,,29.875,0.97667824,1.447916667,20.91666667,,,,,6.125,,,1.078125,,5.3125,8.125,,2.05,,,,,,,13.4375,,5.3125,,,10.9375,,,,,,,0.490740741,,,,,27,
7 02 1990,13.20833333,,9.666666667,,30.75,0.949243458,1.427083333,20.91666667,,,,,6.0625,,,1.09375,,5.34375,8,,2.083333333,,,,,,,13.34375,,5.3125,,,10.9375,,,,,,,0.527777778,,,,,28.125,
8 02 1990,13.125,,9.444444444,,29.75,0.91632172,1.427083333,21.08333333,,,,,6.1875,,,1.078125,,5.3125,7.708333333,,2.133333333,,,,,,,13.3125,,5.3125,,,11.21875,,,,,,,0.537037037,,,,,27.5,
9 02 1990,13.08333333,,9.555555556,,30.125,0.927295633,1.427083333,21.58333333,,,,,6.125,,,1.0625,,5.34375,7.75,,2.1,,,,,,,13.21875,,5.3125,,,11.375,,,,,,,0.555555556,,,,,27.875,
12 02 1990,13.125,,9.444444444,,29.5,0.91632172,1.416666667,21.41666667,,,,,5.8125,,,1.03125,,5.28125,7.75,,2.133333333,,,,,,,13.1875,,5.291666667,,,11.1875,,,,,,,0.561728395,,,,,27.75,
13 02 1990,13.29166667,,9.777777778,,29.25,0.927295633,1.416666667,21.33333333,,,,,5.6875,,,1,,5.15625,7.875,,2.1,,,,,,,13.5,,5.25,,,10.9375,,,,,,,0.567901235,,,,,28.375,
14 02 1990,13.375,,9.611111111,,29.5,0.938269546,1.40625,21.41666667,,,,,5.5625,,,0.984375,,5.09375,8.041666667,,2.1,,,,,,,13.375,,5.25,,,10.75,,,,,,,0.583333333,,,,,28.5,
15 02 1990,13.375,,9.444444444,,29.75,0.943756502,1.395833333,21.5,,,,,5.75,,,0.96875,,5.0625,8.333333333,,2.083333333,,,,,,,13.4375,,5.25,,,10.8125,,,,,,,0.589506173,,,,,28.5,
16 02 1990,13.45833333,,9.555555556,,29.625,0.949243458,1.395833333,21.58333333,,,,,5.8125,,,0.953125,,5.078125,8.5,,2.083333333,,,,,,,13.3125,,5.291666667,,,10.96875,,,,,,,0.564814815,,,,,28.875,
20 02 1990,13.29166667,,9.388888889,,29,0.927295633,1.395833333,21.25,,,,,5.5625,,,0.9375,,4.875,8.333333333,,2.05,,,,,,,13.03125,,5.270833333,,,10.9375,,,,,,,0.552469136,,,,,27.5,
21 02 1990,13.375,,9.444444444,,29.5,0.943756502,1.416666667,21.08333333,,,,,5.75,,,0.953125,,4.734375,8.583333333,,2.1,,,,,,,13.0625,,5.166666667,,,10.96875,,,,,,,0.552469136,,,,,28,
22 02 1990,13.33333333,,9.444444444,,28.75,0.932782589,1.416666667,21,,,,,5.6875,,,0.953125,,4.5,8.875,,2.066666667,,,,,,,13.0625,,5.1875,,,11,,,,,,,0.552469136,,,,,28,
23 02 1990,13.08333333,,9.555555556,,28.75,0.932782589,1.4375,21.08333333,,,,,5.6875,,,0.953125,,4.390625,8.75,,2.033333333,,,,,,,13.09375,,5.1875,,,10.8125,,,,,,,0.537037037,,,,,28.25,
26 02 1990,13.04166667,,9.777777778,,29.75,0.949243458,1.416666667,21.16666667,,,,,5.625,,,1.03125,,4.328125,8.666666667,,1.983333333,,,,,,,13.375,,5.125,,,10.9375,,,,,,,0.543209877,,,,,28.625,
27 02 1990,13.04166667,,9.722222222,,29.375,0.965704328,1.416666667,21.58333333,,,,,5.75,,,1.015625,,4.453125,8.75,,1.933333333,,,,,,,13.15625,,5.208333333,,,11.1875,,,,,,,0.555555556,,,,,29.25,
